"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"20","8713050202","Smooth Butterfly Ray",6,NA,100.5,347.833333333333,24,1105.83333333333,NA,0,-1,-2,-3
"21","8713070101","Spotted Eagle Ray",1,NA,45.5,33.5,NA,29,4.12,0,-2,-4,-14
"22","8713070301","Cownose Ray",28,NA,877.166666666667,3916.75,153,1476.16666666667,3.70666666666667,0,-1,-3,-3
"23","8713120101","Lesser Electric Ray",NA,NA,NA,NA,NA,24.5,NA,0,-1,-1,-1
"24","8729010105","Atlantic Sturgeon",NA,NA,NA,NA,NA,29,NA,0,-8,-13,-10
"25","8732010101","Longnose Gar",9,NA,286,157.5,38,592,NA,0,-2,-5,-3
"26","8732010102","Spotted Gar",1,NA,NA,NA,NA,21,NA,0,-1,-4,-2
"27","8732010105","Florida Gar",NA,NA,39,48,2,18,NA,0,-1,-1,-1
"28","8734010101","Bowfin",NA,NA,1,3,NA,1,NA,0,-2,-7,-2
"29","8738010101","Ladyfish",176.5,125,7458.58333333333,22112.4,440.5,8847.5,3.4825,0,-1,-3,-3
"30","8738010199","Malacho",NA,NA,1,2,NA,10,NA,0,0,0,0
"31","8738020201","Tarpon",NA,16,19,5,NA,14,3.885,0,-2,-6,-5
"32","8739010101","Bonefish",NA,8,38,13,1,9.5,3.735,0,-2,-7,-9
"33","8739010104","Channel Bonefish",NA,NA,NA,1,NA,NA,NA,0,0,0,0
"34","8741010101","American Eel",NA,NA,3,NA,NA,3,3.83,-1,-3,-12,-6
"35","8741050404","Blackedge Moray",1,NA,NA,NA,NA,2,NA,0,-1,-1,-2
"36","8741050407","Ocellated Moray",5,NA,2,NA,2,8,NA,0,-1,-2,-2
"37","8741130201","Whip Eel",NA,NA,1,NA,NA,NA,NA,0,-1,-2,-2
"38","8741130802","Speckled Worm Eel",3,NA,31.5,12,4,679.5,NA,0,-1,-2,-2
"39","8741131001","Shrimp Eel",2,NA,2,2,NA,27,NA,0,-1,-2,-2
"40","8741133101","Spotted Spoon-nose Eel",NA,NA,NA,1,NA,NA,NA,0,-1,-2,-2
"41","8741133102","Stippled Spoon-nose Eel",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-2
"42","8747010104","Alabama Shad",NA,NA,NA,NA,NA,83,NA,0,-2,-5,-7
"43","8747010106","Skipjack Herring",NA,NA,NA,NA,NA,84,NA,0,-2,-5,-4
"44","8747010501","Gizzard Shad",NA,NA,29,17.5,3,995.333333333333,NA,0,-3,-8,-5
"45","8747010502","Threadfin Shad",6,NA,201,767,7.5,2004,2.616,0,-3,-7,-7
"46","8747010701","Atlantic Thread Herring",201.666666666667,809.25,12842.0833333333,18824.3333333333,490.5,9153.5,3.192,0,-1,-3,-2
"47","8747010803","Scaled Sardine",7159.66666666667,843.166666666667,62690.15,167934.483333333,1657.5,91605.0333333333,3.486,0,-1,-1,-2
